season,episode,release_date,title
9,13,2005/11/30,Free Willzyx
9,14,2005/12/07,Bloody Mary
10,01,2006/3/22,The Return of Chef
10,02,2006/3/29,Smug Alert!
10,03,2006/4/05,Cartoon Wars Part I (1)
10,04,2006/4/12,Cartoon Wars Part II (2)
10,05,2006/4/19,A Million Little Fibers
10,06,2006/4/26,ManBearPig
10,07,2006/5/03,Tsst
10,08,2006/10/04,"Make Love, Not Warcraft"
10,09,2006/10/11,Mystery of the Urinal Deuce
10,10,2006/10/18,Miss Teacher Bangs a Boy
10,11,2006/10/25,Hell On Earth 2006
10,12,2006/11/01,Go God Go (1)
10,13,2006/11/08,Go God Go XII (2)
10,14,2006/11/15,Stanley's Cup
11,01,2007/3/07,With Apologies to Jesse Jackson
11,02,2007/3/14,Cartman Sucks
11,03,2007/3/21,Lice Capades
11,04,2007/3/28,The Snuke
11,05,2007/4/04,Fantastic Easter Special
11,06,2007/4/11,D-Yikes
11,07,2007/4/18,Night of the Living Homeless
11,08,2007/10/03,Le Petit Tourette
11,09,2007/10/10,More Crap
11,10,2007/10/17,Imaginationland (1)
11,11,2007/10/24,Imaginationland Episode II (2)
11,12,2007/10/31,Imaginationland Episode III (3)
11,13,2007/11/07,Guitar Queer-o
11,14,2007/11/14,The List
12,01,2008/3/12,Tonsil Trouble
12,02,2008/3/19,Britney’s New Look
12,03,2008/3/26,Major Boobage
12,04,2008/4/02,Canada on Strike
12,05,2008/4/09,"Eek, A Penis!"
12,06,2008/4/16,Over Logging
12,07,2008/4/23,Super Fun Time
12,08,2008/10/08,The China Probrem
12,09,2008/10/15,Breast Cancer Show Ever
12,10,2008/10/22,Pandemic (1)
12,11,2008/10/29,Pandemic 2: The Startling (2)
12,12,2008/11/05,About Last Night...
12,13,2008/11/12,Elementary School Musical
12,14,2008/11/19,The Ungroundable
13,01,2009/3/11,The Ring
13,02,2009/3/18,The Coon
13,03,2009/3/25,Margaritaville
13,04,2009/4/01,"Eat, Pray, Queef"
13,05,2009/4/08,Fishsticks
13,06,2009/4/15,Pinewood Derby
13,07,2009/4/22,Fatbeard
13,08,2009/10/07,Dead Celebrities
13,09,2009/10/14,Butters' Bottom Bitch
13,10,2009/10/21,W.T.F.
13,11,2009/10/28,Whale Whores
13,12,2009/11/04,The F Word
